product_id,product_name,category,price
1,Apple iPhone 15,Electronics,558.48
2,Samsung Galaxy S24,Electronics,517.03
3,Sony WH-1000XM5,Electronics,443.91
4,LG OLED C3 TV,Electronics,1302.46
5,Dell XPS 13,Electronics,909.93
6,Apple iPad Air,Electronics,1431.92
7,Nintendo Switch OLED,Electronics,1332.03
8,Canon EOS R50,Electronics,211.67
9,JBL Flip 6,Electronics,831.24
10,GoPro HERO12,Electronics,165.37
11,Apple iPhone 15,Electronics,68.32
12,Samsung Galaxy S24,Electronics,119.06
13,Sony WH-1000XM5,Electronics,1300.59
14,LG OLED C3 TV,Electronics,1184.29
15,Dell XPS 13,Electronics,1244.47
16,Apple iPad Air,Electronics,517.94
17,Nintendo Switch OLED,Electronics,926.63
18,Canon EOS R50,Electronics,1175.04
19,JBL Flip 6,Electronics,573.28
20,GoPro HERO12,Electronics,860.46
21,Apple iPhone 15,Electronics,343.33
22,Samsung Galaxy S24,Electronics,131.8
23,Sony WH-1000XM5,Electronics,407.42
24,LG OLED C3 TV,Electronics,1337.24
25,Dell XPS 13,Electronics,851.03
26,Levi's 501 Jeans,Clothing,1388.35
27,Nike Sportswear Hoodie,Clothing,692.08
28,Adidas Superstar Shoes,Clothing,423.0
29,Uniqlo Crew Neck T-Shirt,Clothing,1182.65
30,Columbia Rain Jacket,Clothing,1243.37
31,Puma Track Pants,Clothing,28.45
32,Under Armour Polo,Clothing,1008.91
33,The North Face Fleece,Clothing,146.61
34,H&M Chino Pants,Clothing,181.5
35,Zara Linen Shirt,Clothing,1328.74
36,Levi's 501 Jeans,Clothing,69.64
37,Nike Sportswear Hoodie,Clothing,367.05
38,Adidas Superstar Shoes,Clothing,1482.36
39,Uniqlo Crew Neck T-Shirt,Clothing,637.31
40,Columbia Rain Jacket,Clothing,182.18
41,Puma Track Pants,Clothing,259.4
42,Under Armour Polo,Clothing,369.72
43,The North Face Fleece,Clothing,1118.57
44,H&M Chino Pants,Clothing,163.22
45,Zara Linen Shirt,Clothing,1367.04
46,Levi's 501 Jeans,Clothing,573.63
47,Nike Sportswear Hoodie,Clothing,1455.69
48,Adidas Superstar Shoes,Clothing,1364.74
49,Uniqlo Crew Neck T-Shirt,Clothing,448.1
50,Columbia Rain Jacket,Clothing,387.58
51,Dyson V15 Detect Vacuum,Home Appliances,720.75
52,Instant Pot Duo 7-in-1,Home Appliances,159.19
53,Ninja Air Fryer Max XL,Home Appliances,981.55
54,Philips Airfryer XXL,Home Appliances,69.03
55,Samsung Bespoke Refrigerator,Home Appliances,25.65
56,LG WashTower,Home Appliances,1474.05
57,KitchenAid Artisan Mixer,Home Appliances,450.37
58,Breville Barista Express,Home Appliances,898.89
59,iRobot Roomba j9+,Home Appliances,680.27
60,De'Longhi Magnifica Evo,Home Appliances,476.79
61,Dyson V15 Detect Vacuum,Home Appliances,103.82
62,Instant Pot Duo 7-in-1,Home Appliances,1370.95
63,Ninja Air Fryer Max XL,Home Appliances,1455.02
64,Philips Airfryer XXL,Home Appliances,1455.0
65,Samsung Bespoke Refrigerator,Home Appliances,175.93
66,LG WashTower,Home Appliances,330.64
67,KitchenAid Artisan Mixer,Home Appliances,930.53
68,Breville Barista Express,Home Appliances,1470.13
69,iRobot Roomba j9+,Home Appliances,818.94
70,De'Longhi Magnifica Evo,Home Appliances,1035.4
71,Dyson V15 Detect Vacuum,Home Appliances,996.13
72,Instant Pot Duo 7-in-1,Home Appliances,396.04
73,Ninja Air Fryer Max XL,Home Appliances,816.99
74,Philips Airfryer XXL,Home Appliances,467.91
75,Samsung Bespoke Refrigerator,Home Appliances,377.11
76,The Great Gatsby,Books,131.24
77,To Kill a Mockingbird,Books,428.37
78,1984,Books,1475.23
79,Atomic Habits,Books,677.37
80,The Alchemist,Books,981.5
81,Harry Potter and the Sorcerer's Stone,Books,968.76
82,The Hobbit,Books,1411.69
83,The Psychology of Money,Books,591.81
84,The Lean Startup,Books,467.11
85,Clean Code,Books,497.59
86,The Great Gatsby,Books,481.94
87,To Kill a Mockingbird,Books,1272.23
88,1984,Books,1341.32
89,Atomic Habits,Books,461.19
90,The Alchemist,Books,508.16
91,Harry Potter and the Sorcerer's Stone,Books,820.9
92,The Hobbit,Books,872.69
93,The Psychology of Money,Books,897.98
94,The Lean Startup,Books,375.2
95,Clean Code,Books,40.36
96,The Great Gatsby,Books,373.2
97,To Kill a Mockingbird,Books,117.77
98,1984,Books,831.3
99,Atomic Habits,Books,115.67
100,The Alchemist,Books,121.94
